"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1772458999792668889","Tue Mar 26 03:02:10 +0000 2024","274","Waktu dpt rejection letter di satu uni di UK. Papa blg Tidak mudah utk menembus itu rasanya tenang bgt. Pas balik ke Jakarta papa blg nanti ambil aja yg lolos nak. Udah bagus itu. Pas alhamdulillah lolos di bbrp uni di UK aku gak bisa kasih tau papa krn papa udh gak ada. https://t.co/olknbqGrXn","1772458999792668889","https://pbs.twimg.com/ext_tw_video_thumb/1772458875561914368/pu/img/bAcmSH_-2AJJwLt9.jpg","","in","","7","2","15","https://twitter.com/busanonni/status/1772458999792668889","934597254324789249","busanonni"
"1774471350603952134","Sun Mar 31 16:18:32 +0000 2024","1552","230923 SMTOWN in JAKARTA #태용 #AprilFoolsDay #만우절 #NCT #NCT127 #NCTU #TAEYONG https://t.co/4LUNqQQdL5","1774471350603952134","https://pbs.twimg.com/media/GKAwRnAa8AA6pvw.jpg","","in","_shotaroo_ / LOGO CROP, 2차가공 X","20","0","693","https://twitter.com/NovBreeze1125/status/1774471350603952134","1589994125897891842","NovBreeze1125"
"1773245752170459149","Thu Mar 28 07:08:27 +0000 2024","5821","Ini harga TDS2 7Drean()scape di Jakarta setela pajak ya Dream A B and C: 3.852.000 Cat 1: 3.392.000 Cat 2: 2.932.000 Cat 3: 2.42.000 Cat 4: 2.011.500 Cat 5: 1.775.000 Cat 6: 1.207.000 https://t.co/KIeqcPtiut","1773245752170459149","https://pbs.twimg.com/media/GJvVm2BakAEtWKM.jpg","","in","loving jeno ","1378","161","2242","https://twitter.com/jenonoom/status/1773245752170459149","1741406757908561920","jenonoom"
"1772836901873127452","Wed Mar 27 04:03:49 +0000 2024","26434","Yaelah jakarta emg KAGA BISA BET DIPUJI LU YE https://t.co/ksp6IC7J7r","1772836901873127452","https://pbs.twimg.com/media/GJphwkCagAArEQM.jpg","","in","he/him","985","240","2767","https://twitter.com/pengwinningg/status/1772836901873127452","1125520077984419840","pengwinningg"
"1773662011546554408","Fri Mar 29 10:42:31 +0000 2024","1829","Polres Metro Jakarta Barat telah menangkap Michael Gomgom driver GrabCar yang melakukan pemerasan seorang penumpang wanita. Michael ditangkap di kawasan Cempaka Putih pada Kamis (28/3) malam. #newsupdate #update #news #videonews https://t.co/AiCnpPsN1i https://t.co/ugXD3u53MC","1773662011546554408","https://pbs.twimg.com/amplify_video_thumb/1773661856470818816/img/N_uEOZTX6WFGMsis.jpg","","in","","209","252","700","https://twitter.com/kumparan/status/1773662011546554408","759692754985242625","kumparan"
"1773654325685784619","Fri Mar 29 10:11:58 +0000 2024","6187","Ternyata lebih shock di bali dibanding jakarta ‼️ Source: pejuangkerja &amp; jodoh kamu A THREAD https://t.co/VWw0h5fKIq","1773654325685784619","https://pbs.twimg.com/media/GJ1JNJvakAAJEEc.jpg","","in","","164","208","672","https://twitter.com/ThreadReceh_/status/1773654325685784619","1763221837075640320","ThreadReceh_"
"1773248176771776876","Thu Mar 28 07:18:05 +0000 2024","94","Harga tiket TDS3 jakarta after Fee admin &amp; Tax: https://t.co/QMpuQoqdxK","1773248176771776876","https://pbs.twimg.com/media/GJvX0MoaIAAo66G.jpg","","in","","9","1","21","https://twitter.com/xxgnusijxx/status/1773248176771776876","1559863647546970112","xxgnusijxx"
"1773209048139149709","Thu Mar 28 04:42:36 +0000 2024","237","Yang mau freebies aku..ketemuan yok day2 #TREASURE_REBOOT_IN_JAKARTA #treasure treasure freebies https://t.co/GymtMeWu6N","1773209048139149709","https://pbs.twimg.com/media/GJu0OQqaEAA_Zz3.jpg","","in","California, korea ❤","3","119","96","https://twitter.com/binijidi/status/1773209048139149709","1080842044283662337","binijidi"
"1773436433774317736","Thu Mar 28 19:46:09 +0000 2024","162","Curhat W ke internal usai dilecehkan ketua PSI Jakarta barat dapat info banyak korban bernasib serupa https://t.co/RH7Teo8OCA","1773436433774317736","https://pbs.twimg.com/ext_tw_video_thumb/1773436254111326208/pu/img/aUMD3dBdK0fZUS6N.jpg","","in","Ahokers 🤟🤟🤟","6","11","54","https://twitter.com/akupadi5/status/1773436433774317736","1247512756925763589","akupadi5"
"1774459235382046878","Sun Mar 31 15:30:24 +0000 2024","1300","Bohonglah kalau gk lelah... Ini aja foto sdh 14 Thn. Ex Kontras PBHI LBH Jakarta jaringan HAM di era itu. Pasti msh ingat kt advokasi bareng.. 24 thn di dunia Pergerakan eneg juga lah.. gini2 aja republik. https://t.co/0gX0KgMSO9","1774459235382046878","https://pbs.twimg.com/media/GKAlRGXacAA-G_r.jpg","","in","","4","58","190","https://twitter.com/LexWu_13/status/1774459235382046878","1395171646151880706","LexWu_13"
"1773321385060045081","Thu Mar 28 12:08:59 +0000 2024","492","Di Halte BRT Cikoko udah gaada logo Jaklingko Sepertinya Jaklingko udah ga dipake sebagai branding integrasi moda transportasi di Jakarta. Sotoy nya gua sepertinya Jaklingko diarahkan sebagai pengelola pembayaran dan skema tarif integrasi transportasi Jakarta. https://t.co/NJM9lppJgI","1773321385060045081","https://pbs.twimg.com/media/GJwaYybakAEEF-z.jpg","","in","Jakarta, Indonesia","39","5","92","https://twitter.com/rikigusma/status/1773321385060045081","105432036","rikigusma"
"1772532811750101121","Tue Mar 26 07:55:29 +0000 2024","8771","Sukses Jakarta untuk Indonesia","1772532811750101121","","","in","","297","314","2629","https://twitter.com/salshaindr/status/1772532811750101121","72263782","salshaindr"
"1774622011433857273","Mon Apr 01 02:17:13 +0000 2024","105","[NEWS] 1.4.24 #LUCAS akan memulai penampilan di Jakarta pada 11 Mei untuk LUCAS Fancon Tour in Asia Fiat Lux: 熙. Setelah debut solonya dia akan bertemu lebih dekat dengan penggemar global melalui penampilan solo pertamanya. https://t.co/Eu5nWs7kqC","1774622011433857273","https://pbs.twimg.com/media/GKC5T5xbQAETrap.jpg","","in","Indonesia","15","2","35","https://twitter.com/LucasWong_IDN/status/1774622011433857273","1485659815515160578","LucasWong_IDN"
"1774463191927644249","Sun Mar 31 15:46:07 +0000 2024","903","230923 SMTOWN Live in Jakarta #WENDY #웬디 #RedVelvet #레드벨벳 #AprilFoolsDay #만우절 https://t.co/Q7aFS330dm","1774463191927644249","https://pbs.twimg.com/ext_tw_video_thumb/1774463080271056896/pu/img/4fnoSxNIjI2z8L7N.jpg","","in","to the world","11","0","352","https://twitter.com/walk_onthemoon_/status/1774463191927644249","3623556259","walk_onthemoon_"
"1773338027672105386","Thu Mar 28 13:15:07 +0000 2024","8043","Saya yakin warga Jakarta tidak bego Mas. Tapi @KPU_ID dan @bawaslu_RI ini yang sudah sulit dipercaya. Ketua KPU Hasyim Asyari yang sudah jelas tidak kredibel dan profesional dengan disanksi peringatan keras terakhir beberapa kali tapi tidak juga dipecat. https://t.co/BHbOTG0ENf","1773338027672105386","https://pbs.twimg.com/media/GJwpiL9bUAAfC4w.jpg","","in","","40","122","2490","https://twitter.com/realfedinuril/status/1773338027672105386","37414097","realfedinuril"
"1774443261785985150","Sun Mar 31 14:26:55 +0000 2024","29","Rumah Super Mewah Helena Lim pelaku skandal mega korupsi 271 T yang terletak di Pantai Indah Kapuk Jakarta di penuhi dengan fasilitas bak hotel kelas bintang 5 https://t.co/6Gq9NskSZ6","1774443261785985150","https://pbs.twimg.com/ext_tw_video_thumb/1774443205985255424/pu/img/MMD5ucD50-gqCP-v.jpg","","in","Papua New Guinea","3","8","13","https://twitter.com/PuteraKonoha/status/1774443261785985150","1725353019058147328","PuteraKonoha"
"1773251150495580374","Thu Mar 28 07:29:54 +0000 2024","287","Pembahasan Terburu-buru dan Tak Libatkan Partisipasi Publik PKS Tolak RUU Daerah Khusus Jakarta‼️ #fraksipksdprri #PKSpembelaRakyat #PKSnomor8 https://t.co/mqFDL9yBKM","1773251150495580374","https://pbs.twimg.com/media/GJvagd4bsAAz4Cl.jpg","","in","Jakarta Capital Region","0","5","146","https://twitter.com/FPKSDPRRI/status/1773251150495580374","91255162","FPKSDPRRI"
"1773053453742309593","Wed Mar 27 18:24:19 +0000 2024","18955","Jakarta kena penyakit ain","1773053453742309593","","","in","","121","87","6550","https://twitter.com/sahid____/status/1773053453742309593","39136224","sahid____"
"1772985627031568894","Wed Mar 27 13:54:48 +0000 2024","1468","‼️Dua oknum petugas ekspedisi yang lempar dan tendang paket akhirnya klarifikasi minta maaf Mengakui video itu sebatas konten Minta maaf dan berharap bisa mengembalikan kepercayaan masyarakat Lokasi : Gudang paket di Jakarta Utara Sc ig jakut. info https://t.co/AgQhaZtZVS","1772985627031568894","https://pbs.twimg.com/ext_tw_video_thumb/1772985558492729344/pu/img/mJvBaBJPzsYCAnCF.jpg","","in","Indonesia","177","992","481","https://twitter.com/Little_secret9/status/1772985627031568894","1456771697504182274","Little_secret9"
"1774011132031988074","Sat Mar 30 09:49:48 +0000 2024","4377","Lagunya Don't Wanna Cry tapi yang langit Jakarta menangis.","1774011132031988074","","","in","","78","34","1066","https://twitter.com/mingdanmeng/status/1774011132031988074","1392515067057381388","mingdanmeng"
"1774085152500756975","Sat Mar 30 14:43:55 +0000 2024","39","Ni kalau di stel di masjid jakarta sana di kira saritilawah https://t.co/mwRu5OQvZ3","1774085152500756975","https://pbs.twimg.com/ext_tw_video_thumb/1774085085001875456/pu/img/RFPIrj8H4zAVmA4L.jpg","","in","DKI Jakarta, Indonesia","6","4","11","https://twitter.com/blantik_pedhet2/status/1774085152500756975","815290931003826176","blantik_pedhet2"
"1774387196751204562","Sun Mar 31 10:44:08 +0000 2024","13","Ready tangerang In/out tangerang jakarta Wa 085741184995 gio Ready bo https://t.co/hW8fgYMgKM","1774387196751204562","https://pbs.twimg.com/ext_tw_video_thumb/1774387182385659904/pu/img/6R6_QmcZL7-NXsU8.jpg","","in","bsd serpong tangerang selatan","0","0","15","https://twitter.com/MasgioTangerang/status/1774387196751204562","1763816600929734656","MasgioTangerang"
"1773301047995297952","Thu Mar 28 10:48:10 +0000 2024","191","Help RT/Like FREEBIES TREASURE RELAY TOUR REBOOT IN JAKARTA by @rupykun ️ DAY 2 - 30 JUNI 2024 GBK INDONESIA ARENA 10.00 - 13.00 WIB LIMITED QUANTITY OPEN FOR TRADE See you soon Rencana mau buat versi Jeongwoo haruto juga️ #TREASURE_REBOOT_IN_JAKARTA https://t.co/e36W92hxo9","1773301047995297952","https://pbs.twimg.com/media/GJwH56Pb0AEXeCX.jpg","","in","reboot","3","8","166","https://twitter.com/rupykun/status/1773301047995297952","1349916848582656005","rupykun"
"1774459890679062967","Sun Mar 31 15:33:00 +0000 2024","5982","230923 SMTOWN Live in Jakarta #GISELLE #지젤 #aespa #에스파 #AprilFoolsDay #만우절 https://t.co/CetSUl6Umx","1774459890679062967","https://pbs.twimg.com/ext_tw_video_thumb/1774459634352533505/pu/img/3hPi_jwqxHT74nXS.jpg","","in","to the world","247","21","1961","https://twitter.com/walk_onthemoon_/status/1774459890679062967","3623556259","walk_onthemoon_"
"1772291186725634515","Mon Mar 25 15:55:21 +0000 2024","2798","Gempa megathrust sumbernya di bidang subduksi selatan Jawa khususnya yang dekat Jakarta adl wilayah megathrust selatan Jawa Barat - Selat Sunda. Jakarta dapat terdampak guncangan. https://t.co/ZmUs1Z1HRb","1772291186725634515","https://pbs.twimg.com/media/GJhwNz3bEAAGZoO.jpg","","in","Indonesia","30","39","531","https://twitter.com/zakiberkata/status/1772291186725634515","3165540462","zakiberkata"
"1773993046532931782","Sat Mar 30 08:37:56 +0000 2024","118","Engagement dengan vibes kemacetan dan polusi Jakarta cz why not?? #SuksesJakartaUntukIndonesia https://t.co/C7C9EF1OA7","1773993046532931782","https://pbs.twimg.com/media/GJ59Q7qb0AAZ2IZ.jpg","","in","Jakarta dan sekitarnya","4","17","14","https://twitter.com/I_deenn/status/1773993046532931782","1702255470726291456","I_deenn"
"1774323388192112837","Sun Mar 31 06:30:35 +0000 2024","48","jejer tiga. apa yang terlihat sama? sebelah kiri atas jakarta method kanan atas afro asian dan tengah bawah novel lebur setelah hancur . https://t.co/C8dhAyblpI","1774323388192112837","https://pbs.twimg.com/media/GJ-nwoIbIAE8Int.jpg","","in","Indonesia","7","1","6","https://twitter.com/BeriHanna/status/1774323388192112837","564586795","BeriHanna"
"1772890329135345885","Wed Mar 27 07:36:07 +0000 2024","873","Aksi bayaran 02 mulai rusuh kepada kita nyari masalah yg awal adem dia malah duluan #patung kuda jakarta https://t.co/fYwBJ549kY","1772890329135345885","https://pbs.twimg.com/ext_tw_video_thumb/1772890264706875392/pu/img/eclRJ4X3goo2ow-G.jpg","","in","","16","66","545","https://twitter.com/AbunawasReturn/status/1772890329135345885","1614451668170706944","AbunawasReturn"
"1773912006049120508","Sat Mar 30 03:15:54 +0000 2024","6024","lucu lagi wkwkwk https://t.co/o6uEDY6YyX","1773912006049120508","https://pbs.twimg.com/amplify_video_thumb/1773911947656019968/img/sEVZHKY4tNjWIkUP.jpg","","in","","101","154","1152","https://twitter.com/txtdrjkt/status/1773912006049120508","1252667805947723776","txtdrjkt"
"1773249997523300451","Thu Mar 28 07:25:19 +0000 2024","286","kita balas di soundcheck ty track in jakarta 2026‼️","1773249997523300451","","","in","military wife","3","8","114","https://twitter.com/tictyonggf/status/1773249997523300451","1260849351976300545","tictyonggf"
"1772885566327026166","Wed Mar 27 07:17:12 +0000 2024","733","Bentrok 2 kelompok massa depan Patung Kuda Jakarta saat MK menggelar sidang sengketa Pilpres Rabu 27/3/2024. Pemilu ulang tanpa Gibran. https://t.co/b4B44iqhH2","1772885566327026166","https://pbs.twimg.com/ext_tw_video_thumb/1772885480713125888/pu/img/kc_Y3qmZhMC_H3o9.jpg","","in","Indonesia","8","50","417","https://twitter.com/yaniarsim/status/1772885566327026166","929287558281830400","yaniarsim"
"1772473142406963605","Tue Mar 26 03:58:22 +0000 2024","1577","owh ga cuma di manggarai aja ternyata https://t.co/pleKy5kpUU","1772473142406963605","https://pbs.twimg.com/ext_tw_video_thumb/1772189433514594304/pu/img/q0w6H5GPgYOZmMhA.jpg","","in","","46","84","275","https://twitter.com/txtdrjkt/status/1772473142406963605","1252667805947723776","txtdrjkt"
"1774468130968113382","Sun Mar 31 16:05:45 +0000 2024","601","230306 TDS2 in Jakarta #NAHYUCK #잼동 #NCTDREAM #AprilFoolsDay #만우절 https://t.co/gWJadSsuAA","1774468130968113382","https://pbs.twimg.com/ext_tw_video_thumb/1774468114291539968/pu/img/qUk1w9dRSKvkNVdM.jpg","","in","to the world","9","0","277","https://twitter.com/walk_onthemoon_/status/1774468130968113382","3623556259","walk_onthemoon_"
"1774623198627459343","Mon Apr 01 02:21:56 +0000 2024","8","Selamat siang Siang ininjam 12:00 Aurel include daerah Tebet Jakarta selatan Untuk include bisa yah st/lt masih ada jamkosong nya ️ #availjaksel #AvailJakarta #availtebet #excludejakarta https://t.co/wsrEfGx9i1","1774623198627459343","https://pbs.twimg.com/media/GKC6ZBUbQAAvNrg.jpg","","in","DKI Jakarta, Indonesia","0","0","6","https://twitter.com/aurelllllsn/status/1774623198627459343","3308107680","aurelllllsn"
"1772918397249970343","Wed Mar 27 09:27:39 +0000 2024","434","Jakarta; 27 Maret 2024 Mobil Intel TNI habis Memantau Aksi Solidaritas Mahasiswa Papua Jadetabek depan Mabes TNI AD Jakarta Pusat. Dalam Aksi Mahasiswa mengencam Tindakan TNI Penganiayaan Terhadap 3 Warga di Intan Jaya Papua &amp; Mendesak @jokowi Copot Pangdam Cendrawasih https://t.co/ErUGCR7Ijl","1772918397249970343","https://pbs.twimg.com/ext_tw_video_thumb/1772917150602477568/pu/img/0yn5lsypAIFVdv8m.jpg","","in","West Papua","8","16","149","https://twitter.com/Mulalt_/status/1772918397249970343","1273894271179878400","Mulalt_"
"1774459427560858007","Sun Mar 31 15:31:10 +0000 2024","141","Jakarta BIN kali ini mungkin menjadi klub putri dengan lineup Libero terbaik di musim ini. Best Libero AVC Challenge Cup 2023 Yulis Indahyani (34 th) Juara Livoli Divisi Utama 2023 Nandita Ayu Salsabila (26 th) Juara Kapolri Cup 2023 Indah Guretno (19 th) #Proliga2024 https://t.co/cAoOSD4LoR","1774459427560858007","https://pbs.twimg.com/media/GKAlcg3b0AAwfKE.jpg","","in","Indonesia","6","15","20","https://twitter.com/volleyballidn/status/1774459427560858007","1649743417600266240","volleyballidn"
"1774171072923136085","Sat Mar 30 20:25:20 +0000 2024","18","Sampai jumpa lagi Kota yg indah dan nyaman. ️ You Makassar See you soon Jakarta. https://t.co/0nqAWX20nG","1774171072923136085","https://pbs.twimg.com/media/GJ8fMCUbIAAV2Go.jpg","","in","","0","0","20","https://twitter.com/Celinamoe_/status/1774171072923136085","2909289816","Celinamoe_"
"1772277797353922907","Mon Mar 25 15:02:08 +0000 2024","16979","Terbiasa baca buku minimal 15 menit sehari. Boleh buku apa saja bisa di mana saja. Hari ini baca buku tentang: Ruang Limpah Sungai Jakarta. Teman-teman ada rekomendasi buku yg ok untuk #ngabuburead? https://t.co/5PDADZcF8O","1772277797353922907","https://pbs.twimg.com/amplify_video_thumb/1772277403257352192/img/zQEqEJ3mDpGUh_Wp.jpg","","in","Indonesia","287","476","3070","https://twitter.com/aniesbaswedan/status/1772277797353922907","110312278","aniesbaswedan"
"1774489821471457673","Sun Mar 31 17:31:56 +0000 2024","37","besok aku avail jakarta selatan ya https://t.co/FPIJW7WYcG","1774489821471457673","https://pbs.twimg.com/media/GKBBFhJaoAAfoG0.jpg","","in","","0","0","38","https://twitter.com/zzmeell1/status/1774489821471457673","1764994840448933888","zzmeell1"
"1773257722726584623","Thu Mar 28 07:56:01 +0000 2024","1014","Cara apply membership (GL) Pre-Sale &lt;THE DREAM SHOW 3 : DREAM ()SCAPE&gt; in Jakarta A theread Yang pertama kamu lakuin adalah beli membership dulu di weverse :","1773257722726584623","","","in","🇮🇩🇰🇷","15","28","242","https://twitter.com/abcderinna/status/1773257722726584623","1041544720348897281","abcderinna"
"1774504258865602858","Sun Mar 31 18:29:18 +0000 2024","256","UNITY JAKARTA #YUTA #유타 #NCT127 #AprilFoolsDay https://t.co/1lzMXf88uC","1774504258865602858","https://pbs.twimg.com/ext_tw_video_thumb/1774504026006294528/pu/img/ZRGoCynbqBrEjrU_.jpg","","in","Indonesia 🇮🇩","1","0","108","https://twitter.com/ocy_wocy/status/1774504258865602858","894728291893915648","ocy_wocy"
"1773859199858200601","Fri Mar 29 23:46:04 +0000 2024","377","Syukuran follower karena naik 300 dr sblmnya. Maka ada 300k buat 6 org beruntung. Cukup reply jawaban: Jika disuruh milih kekuatan super milihnya kekuatan seperti apa? Knp pilih itu? Ditunggu sampai jam 15.00 diumumkan pas buka puasa waktu jakarta. Gudlak","1773859199858200601","","","in","Indonesia","6","521","170","https://twitter.com/liebhertttt/status/1773859199858200601","1752228047502344192","liebhertttt"
"1773244810180121039","Thu Mar 28 07:04:42 +0000 2024","9470","RESMI: DPR RI resmi mengesahkan RUU DKJ menjadi Undang-Undang. Gubernur &amp; wakil gubernur Jakarta tetap dipilih langsung oleh rakyat lewat pilkada. : Kompas https://t.co/uN9ojHuwvz","1773244810180121039","https://pbs.twimg.com/media/GJvUwN6a0AADPJ_.jpg","","in","Kutub Selatan","392","118","1353","https://twitter.com/timpenguinnas/status/1773244810180121039","1457753196269473793","timpenguinnas"
"1774601381418246286","Mon Apr 01 00:55:14 +0000 2024","25","Kejaksaan agung makin kece aja dalam memberantas para tikus tikus yang menggerogoti uang negara. Jakarta CNN Indonesia --Tim penyidik Jampindus kejaksaan agung menetapkan satu tersangka dalam perkara tindak korupsi pada kegiatan importasi gula PT SMIP pada 2020-2023 https://t.co/69SUFbDatq","1774601381418246286","https://pbs.twimg.com/media/GKCmiWSa0AEJNpL.jpg","","in","Di Jantungmu ","2","4","5","https://twitter.com/Putri_adja_/status/1774601381418246286","1469280329093373956","Putri_adja_"
"1774467555065024846","Sun Mar 31 16:03:27 +0000 2024","2036","hakim lemes salah hakim ngegas salah sehat sehat buron jakarta ","1774467555065024846","","","in","","25","74","152","https://twitter.com/seutaslara/status/1774467555065024846","1717503984011984896","seutaslara"
"1772275439316435051","Mon Mar 25 14:52:46 +0000 2024","505","Dah lama nih ngga bagi-bagi free wallpaper. Kebetulan akhir pekan kemarin sempet hunting di Jakarta pakai #GalaxyS24Ultra. Jadi silahkan download ya! ️ Photo thread. https://t.co/VzfMN8sxHU","1772275439316435051","https://pbs.twimg.com/media/GJhjHnqbAAA-vBD.jpg","","in","Bandung, Indonesia","3","9","70","https://twitter.com/Madariyanhadi/status/1772275439316435051","69218314","Madariyanhadi"
"1773613014006013984","Fri Mar 29 07:27:49 +0000 2024","9830","tipsnya cuma harus pas lg sepi https://t.co/iMSDtYAC4V","1773613014006013984","https://pbs.twimg.com/amplify_video_thumb/1773612051564527616/img/Se71DPsWLD8DBc2o.jpg","","in","","158","160","1201","https://twitter.com/txtdrjkt/status/1773613014006013984","1252667805947723776","txtdrjkt"
"1774003582473572568","Sat Mar 30 09:19:48 +0000 2024","1228","CARA/TUTORIAL WAR DI APPLEWOOD Based on ticketing Ten in jakarta jadi cmiiw yaa! Untuk gambaran ticketing Baekhyun Lonsdaleite in Jakarta dan konser lain yang dibawa applewood A Thread https://t.co/4DsEKqobW1","1774003582473572568","https://pbs.twimg.com/media/GJ6G2iJb0AAwq8J.jpg","","in","","33","16","326","https://twitter.com/bloomydreamtix_/status/1774003582473572568","1764837489876054016","bloomydreamtix_"
